eval,gen,hv,igd+,icmop,cv,run
100.0,1.0,0.0,,-1.835771259652891,0.835771259652891,1.0
300.0,3.0,0.0,,-1.820390726625959,0.8203907266259587,1.0
400.0,4.0,0.0,,-1.8172630193613208,0.8172630193613208,1.0
500.0,5.0,0.0,,-1.7855405824193855,0.7855405824193855,1.0
600.0,6.0,0.0,,-1.7731098344770455,0.7731098344770455,1.0
800.0,8.0,0.0,,-1.7481259217637135,0.7481259217637137,1.0
900.0,9.0,0.0,,-1.7066619015811608,0.7066619015811608,1.0
1000.0,10.0,0.0,,-1.692488826047859,0.692488826047859,1.0
1100.0,11.0,0.0,,-1.6832798650719312,0.6832798650719312,1.0
1200.0,12.0,0.0,,-1.6820885185872452,0.6820885185872452,1.0
1300.0,13.0,0.0,,-1.6685270474298777,0.6685270474298777,1.0
1400.0,14.0,0.0,,-1.6391589265416928,0.6391589265416928,1.0
1500.0,15.0,0.0,,-1.5668074829318286,0.5668074829318286,1.0
1800.0,18.0,0.0,,-1.5428581798715624,0.5428581798715624,1.0
1900.0,19.0,0.0,,-1.5366939433420348,0.5366939433420348,1.0
2000.0,20.0,0.0,,-1.5081973803275432,0.5081973803275432,1.0
2200.0,22.0,0.0,,-1.4705493610912286,0.4705493610912286,1.0
2300.0,23.0,0.0,,-1.4582402532868954,0.4582402532868954,1.0
2400.0,24.0,0.0,,-1.4370447758713876,0.4370447758713875,1.0
2500.0,25.0,0.0,,-1.4092942882615782,0.4092942882615782,1.0
2700.0,27.0,0.0,,-1.384861370039784,0.384861370039784,1.0
2800.0,28.0,0.0,,-1.3541659246494473,0.3541659246494473,1.0
3000.0,30.0,0.0,,-1.332241734367893,0.3322417343678929,1.0
3200.0,32.0,0.0,,-1.3260729969746092,0.3260729969746092,1.0
3400.0,34.0,0.0,,-1.3206330820897605,0.3206330820897605,1.0
3500.0,35.0,0.0,,-1.3085041886197484,0.3085041886197484,1.0
3600.0,36.0,0.0,,-1.28613394667273,0.2861339466727299,1.0
3700.0,37.0,0.0,,-1.2832084532256105,0.2832084532256105,1.0
3800.0,38.0,0.0,,-1.2719890624388324,0.2719890624388323,1.0
3900.0,39.0,0.0,,-1.258248977050931,0.2582489770509311,1.0
4000.0,40.0,0.0,,-1.2511265747231632,0.2511265747231632,1.0
4500.0,45.0,0.0,,-1.2497021962951476,0.2497021962951475,1.0
4700.0,47.0,0.0,,-1.248207041540944,0.2482070415409438,1.0
4800.0,48.0,0.0,,-1.2471135996637337,0.2471135996637337,1.0
4900.0,49.0,0.0,,-1.2440769152255269,0.2440769152255268,1.0
5100.0,51.0,0.0,,-1.2395245167896003,0.2395245167896005,1.0
5200.0,52.0,0.0,,-1.2391989693103045,0.2391989693103042,1.0
5300.0,53.0,0.0,,-1.2368732027623166,0.2368732027623166,1.0
5800.0,58.0,0.0,,-1.235720752031941,0.2357207520319411,1.0
6000.0,60.0,0.0,,-1.2353735082348327,0.2353735082348327,1.0
6500.0,65.0,0.0,,-1.2327761420753596,0.2327761420753595,1.0
6800.0,68.0,0.0,,-1.2312670141986226,0.2312670141986226,1.0
7100.0,71.0,0.0,,-1.2309727074795107,0.2309727074795107,1.0
7200.0,72.0,0.0,,-1.2298248416741115,0.2298248416741115,1.0
7300.0,73.0,0.0,,-1.2281931816124982,0.2281931816124982,1.0
7900.0,79.0,0.0,,-1.2280468517444931,0.2280468517444931,1.0
8000.0,80.0,0.0,,-1.2267159060298671,0.2267159060298671,1.0
8200.0,82.0,0.0,,-1.225676786729459,0.2256767867294589,1.0
8800.0,88.0,0.0,,-1.2255007054478606,0.2255007054478606,1.0
9100.0,91.0,0.0,,-1.22546975130883,0.2254697513088299,1.0
9200.0,92.0,0.0,,-1.2252677023239198,0.2252677023239198,1.0
9300.0,93.0,0.0,,-1.217820392465167,0.2178203924651669,1.0
9500.0,95.0,0.0,,-1.2173808169690945,0.2173808169690945,1.0
9600.0,96.0,0.0,,-1.2107106608258449,0.2107106608258449,1.0
9800.0,98.0,0.0,,-1.209155290678579,0.2091552906785789,1.0
9900.0,99.0,0.0,,-1.205640276716151,0.2056402767161509,1.0
10000.0,100.0,0.0,,-1.1991948997338313,0.1991948997338313,1.0
10100.0,101.0,0.0,,-1.198972158205326,0.1989721582053261,1.0
10200.0,102.0,0.0,,-1.1950180536642876,0.1950180536642876,1.0
10400.0,104.0,0.0,,-1.194302098090506,0.1943020980905059,1.0
10500.0,105.0,0.0,,-1.1926426911432817,0.1926426911432817,1.0
10700.0,107.0,0.0,,-1.1905287416914658,0.1905287416914658,1.0
11100.0,111.0,0.0,,-1.1905166155789475,0.1905166155789477,1.0
11300.0,113.0,0.0,,-1.1904969475935545,0.1904969475935545,1.0
11900.0,119.0,0.0,,-1.1900662147714351,0.1900662147714351,1.0
12200.0,122.0,0.0,,-1.178494791815463,0.1784947918154629,1.0
12300.0,123.0,0.0,,-1.1746976667523024,0.1746976667523023,1.0
12400.0,124.0,0.0,,-1.163531868941459,0.1635318689414591,1.0
12900.0,129.0,0.0,,-1.1600130541712337,0.1600130541712336,1.0
13100.0,131.0,0.0,,-1.15923233819646,0.15923233819646,1.0
13200.0,132.0,0.0,,-1.159221110054384,0.1592211100543838,1.0
13300.0,133.0,0.0,,-1.158997329484764,0.1589973294847639,1.0
13400.0,134.0,0.0,,-1.1561992558317438,0.1561992558317437,1.0
13600.0,136.0,0.0,,-1.1560595842566077,0.1560595842566077,1.0
14100.0,141.0,0.0,,-1.155279170816628,0.1552791708166281,1.0
14200.0,142.0,0.0,,-1.1398313423669184,0.1398313423669184,1.0
14300.0,143.0,0.0,,-1.137749430623937,0.137749430623937,1.0
14400.0,144.0,0.0,,-1.1267795386540391,0.1267795386540391,1.0
14600.0,146.0,0.0,,-1.1261676889214824,0.1261676889214824,1.0
14800.0,148.0,0.0,,-1.1233906440828436,0.1233906440828436,1.0
14900.0,149.0,0.0,,-1.1227401646685389,0.1227401646685386,1.0
15200.0,152.0,0.0,,-1.122660154568649,0.1226601545686489,1.0
15600.0,156.0,0.0,,-1.1226576954590686,0.1226576954590685,1.0
15900.0,159.0,0.0,,-1.121355641942336,0.121355641942336,1.0
16000.0,160.0,0.0,,-1.120912162732278,0.120912162732278,1.0
16200.0,162.0,0.0,,-1.1204741258131738,0.1204741258131738,1.0
16900.0,169.0,0.0,,-1.1203645102903357,0.1203645102903356,1.0
17100.0,171.0,0.0,,-1.1203039146088158,0.1203039146088158,1.0
20000.0,200.0,0.0,,-1.1201855002566108,0.1201855002566107,1.0
21000.0,210.0,0.0,,-1.120033636396363,0.120033636396363,1.0
21200.0,212.0,0.0,,-1.1199969323065029,0.1199969323065026,1.0
23200.0,232.0,0.0,,-1.1199726784270891,0.1199726784270891,1.0
23500.0,235.0,0.0,,-1.119915744445319,0.1199157444453189,1.0
25800.0,258.0,0.0,,-1.1198617765401808,0.1198617765401808,1.0
28100.0,281.0,0.0,,-1.1031639263760336,0.1031639263760335,1.0
28200.0,282.0,0.0,,-1.090982704261592,0.090982704261592,1.0
28300.0,283.0,0.0,,-1.0902456279046189,0.0902456279046186,1.0
28400.0,284.0,0.0,,-1.088917048529802,0.0889170485298018,1.0
28900.0,289.0,0.0,,-1.0879221947529047,0.0879221947529047,1.0
29000.0,290.0,0.0,,-1.086257321032658,0.086257321032658,1.0
29200.0,292.0,0.0,,-1.0854662021590784,0.0854662021590784,1.0
29300.0,293.0,0.0,,-1.0854542903958015,0.0854542903958015,1.0
29700.0,297.0,0.0,,-1.085439122362779,0.085439122362779,1.0
30100.0,301.0,0.0,,-1.08542999659388,0.08542999659388,1.0
30200.0,302.0,0.0,,-1.08526056816926,0.0852605681692599,1.0
30400.0,304.0,0.0,,-1.0850348699995072,0.0850348699995071,1.0
30600.0,306.0,0.0,,-1.085032810661088,0.085032810661088,1.0
34300.0,343.0,0.0,,-1.0850219006683142,0.0850219006683141,1.0
35300.0,353.0,0.0,,-1.0850209115451357,0.0850209115451356,1.0
